origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Satkhira,BD4087,Netrakona,BD4572,False,326.8570293244209,326.8570293244209,326.8570293244209,326.8570293244209,2324853,2196582,136431287,0.0002613478331901535,21.761049619243956,5.789522856097701,14.659167369198306
Satkhira,BD4087,Nilphamari,BD5573,False,405.56282252382306,405.56282252382306,405.56282252382306,405.56282252382306,2092568,2196582,156727322,0.0001796252842592683,12.722231851796323,6.005275787631675,14.553902577830893
Satkhira,BD4087,Noakhali,BD2075,False,207.0839400864122,207.0839400864122,207.0839400864122,207.0839400864122,3625442,2196582,56956251,0.002144487182746933,84.54114444833232,5.333124218733183,15.103486769872411
Satkhira,BD4087,Pabna,BD5076,False,187.52832422539007,187.52832422539007,187.52832422539007,187.52832422539007,2909624,2196582,36676178,0.003935008706694532,82.73763921904929,5.2339298965370835,14.8835344211774
Satkhira,BD4087,Panchagarh,BD5577,False,437.6889144129893,437.6889144129893,437.6889144129893,437.6889144129893,1179843,2196582,161782191,9.569357361526139e-05,6.158757808851789,6.081508416969537,13.98089193674234
Satkhira,BD4087,Patuakhali,BD1078,False,131.60856319676944,131.60856319676944,131.60856319676944,131.60856319676944,1727254,2196582,15295183,0.011285967034670863,99.72129539074758,4.87983208665853,14.362043422168306
Satkhira,BD4087,Pirojpur,BD1079,False,89.6131005883359,89.6131005883359,89.6131005883359,89.6131005883359,1198195,2196582,7302605,0.0259006689858343,149.20538405297097,4.495501521216355,13.996326815697198
Satkhira,BD4087,Rajbari,BD3082,False,155.78954066132187,155.78954066132187,155.78954066132187,155.78954066132187,1189818,2196582,24282843,0.0035671562062928055,49.02345789325122,5.04850599807222,13.989310912214547
Satkhira,BD4087,Rajshahi,BD5081,False,236.9053027506127,236.9053027506127,236.9053027506127,236.9053027506127,2915009,2196582,85221733,0.0008108432355581719,51.93861162795997,5.467660494834075,14.885383465240523
Satkhira,BD4087,Rangamati,BD2084,False,326.43278585692383,326.43278585692383,326.43278585692383,326.43278585692383,647586,2196582,133221468,7.720045500467114e-05,6.077289267792063,5.788224064911079,13.381006882269048
Satkhira,BD4087,Rangpur,BD5585,False,363.47404042580547,363.47404042580547,363.47404042580547,363.47404042580547,3169614,2196582,145247978,0.00031351563122996104,23.991620276922223,5.895707878813469,14.9691203718778
Satkhira,BD4087,Satkhira,BD4087,True,0.0,44.47439044410585,1.0,29.636631790218406,2196582,2196582,0,0.5,1110.5226263793259,3.794913527872948,14.602413073820426
Satkhira,BD4087,Shariatpur,BD3086,False,161.99514213946978,161.99514213946978,161.99514213946978,161.99514213946978,1294562,2196582,25472661,0.0035482759106947055,49.33088107829774,5.087566347989375,14.073682971966935
Satkhira,BD4087,Sherpur,BD4589,False,315.03575539627553,315.03575539627553,315.03575539627553,315.03575539627553,1501853,2196582,126537461,0.0001967663074865449,15.132397176051455,5.752686141578478,14.22221023700936
Satkhira,BD4087,Sirajganj,BD5088,False,228.3752293457028,228.3752293457028,228.3752293457028,228.3752293457028,3357706,2196582,72562969,0.0012629216771671073,64.37906629754106,5.430990018948144,15.026768560672359
Satkhira,BD4087,Sunamganj,BD6090,False,362.5156359854593,362.5156359854593,362.5156359854593,362.5156359854593,2695496,2196582,139237246,0.00029045607639445334,20.510923044580505,5.893067607117487,14.80709278991802
Satkhira,BD4087,Sylhet,BD6091,False,404.797384181316,404.797384181316,404.797384181316,404.797384181316,3857123,2196582,152870199,0.00034379765663347276,23.539004585545985,6.003386655949699,15.16543212675189
Satkhira,BD4087,Tangail,BD3093,False,236.47811005203056,236.47811005203056,236.47811005203056,236.47811005203056,4037608,2196582,81184125,0.0012167562010260186,72.20084171431911,5.465855645728706,15.2111629953813
Satkhira,BD4087,Thakurgaon,BD5594,False,409.169220317281,409.169220317281,409.169220317281,409.169220317281,1533895,2196582,158819890,0.00012873148856847177,9.161988001788487,6.014128812082388,14.243320810065981
Shariatpur,BD3086,Bagerhat,BD4001,False,119.25560829956416,119.25560829956416,119.25560829956416,119.25560829956416,1613076,1294562,64894135,0.0004653211600412237,113.42197508220475,4.781269158428323,14.293653473170336
Shariatpur,BD3086,Bandarban,BD2003,False,256.8707303087644,256.8707303087644,256.8707303087644,256.8707303087644,481106,1294562,143675430,2.953714458748721e-05,7.291410212812777,5.548572963443314,13.08384289902944
Shariatpur,BD3086,Barguna,BD1004,False,126.50400896184047,126.50400896184047,126.50400896184047,126.50400896184047,1010531,1294562,66507211,0.00028039182390018284,63.14530473930325,4.840273999063362,13.825986493237492
Shariatpur,BD3086,Barishal,BD1006,False,48.950847499283284,48.950847499283284,48.950847499283284,48.950847499283284,2570446,1294562,5554191,0.05158291291863573,1072.7241406052758,3.8908166823972907,14.759589982670962
Shariatpur,BD3086,Bhola,BD1009,False,106.7061290100031,106.7061290100031,106.7061290100031,106.7061290100031,1932518,1294562,61234363,0.0006206766636996387,169.7246091610534,4.670078598176311,14.474334373759973
Shariatpur,BD3086,Bogura,BD5010,False,204.16679961475435,204.16679961475435,204.16679961475435,204.16679961475435,3734297,1294562,120544942,0.0003159690526419775,89.58568391126111,5.318937304924868,15.133070139288687
Shariatpur,BD3086,Brahmanbaria,BD2012,False,104.34721692242762,104.34721692242762,104.34721692242762,104.34721692242762,3306563,1294562,56278904,0.001221243964838181,303.6792100525956,4.647723962563112,15.011419839295048
Shariatpur,BD3086,Chandpur,BD2013,False,37.16023211915023,37.16023211915023,37.16023211915023,37.16023211915023,2635748,1294562,2918443,0.11825602103941588,1908.7412069797367,3.6152391604048755,14.784677570641602
Shariatpur,BD3086,Chapainawabganj,BD5070,False,272.2331688995483,272.2331688995483,272.2331688995483,272.2331688995483,1835528,1294562,146979804,0.00010675997774781872,24.767315514524057,5.606658937678116,14.422842736501666
Shariatpur,BD3086,Chattogram,BD2015,False,171.30766510052288,171.30766510052288,171.30766510052288,171.30766510052288,9169465,1294562,103338022,0.0009968959223318784,312.4571057511941,5.143461150975341,16.031389500109725
Shariatpur,BD3086,Chuadanga,BD4018,False,164.1852480604368,164.1852480604368,164.1852480604368,164.1852480604368,1234054,1294562,102103968,0.00014766436548694603,45.77895735898005,5.10099535169391,14.025815242619684
Shariatpur,BD3086,Cox's Bazar,BD2022,False,259.67932738319826,259.67932738319826,259.67932738319826,259.67932738319826,2823268,1294562,144156536,0.00016946962977936665,41.867530998515036,5.559447513587319,14.853405637196515
Shariatpur,BD3086,Cumilla,BD2019,False,67.25435701584621,67.25435701584621,67.25435701584621,67.25435701584621,6212216,1294562,32164360,0.006058746744351087,1373.4273699699809,4.208481804722995,15.642028234056378
Shariatpur,BD3086,Dhaka,BD3026,False,62.11573925062599,62.11573925062599,62.11573925062599,62.11573925062599,14734701,1294562,15266780,0.036802661465669344,3818.8975798659153,4.12899940691698,16.50571588212586
Shariatpur,BD3086,Dinajpur,BD5527,False,311.6447722353751,311.6447722353751,311.6447722353751,311.6447722353751,3315236,1294562,154314106,0.00017354587454321228,34.13459524560645,5.741863988640799,15.014039370621646
Shariatpur,BD3086,Faridpur,BD3029,False,63.580998528468626,63.580998528468626,63.580998528468626,63.580998528468626,2162879,1294562,30001481,0.002673952600007434,535.0292625124322,4.152314660431189,14.586950762547518
Shariatpur,BD3086,Feni,BD2030,False,106.31275438796739,106.31275438796739,106.31275438796739,106.31275438796739,1648896,1294562,59585467,0.000560738410564056,145.888992191265,4.666385262985362,14.315616531026453
Shariatpur,BD3086,Gaibandha,BD5532,False,245.76017943422377,245.76017943422377,245.76017943422377,245.76017943422377,2562233,1294562,138328598,0.0001670817554404467,42.422434663282296,5.504356180078767,14.756389701878161
Shariatpur,BD3086,Gazipur,BD3033,False,94.70704991586963,94.70704991586963,94.70704991586963,94.70704991586963,5263450,1294562,45167079,0.002835290405987184,586.8213204015904,4.550788442150513,15.476297263245858
Shariatpur,BD3086,Gopalganj,BD3035,False,54.35514704996028,54.35514704996028,54.35514704996028,54.35514704996028,1295057,1294562,8124637,0.016612528811129512,438.33639712679593,3.9955393110144657,14.07406526759114
Shariatpur,BD3086,Habiganj,BD6036,False,162.29058547607636,162.29058547607636,162.29058547607636,162.29058547607636,2358886,1294562,99745082,0.00029229651391304964,89.56128144293098,5.089388465913102,14.673700031660417
