sample,candidate_universe,validation_scheme,model,n_events_evaluated,n_folds_evaluated,all_folds_converged,selected_lambda_median,selected_lambda_min,selected_lambda_max,mean_log_loss,top1_accuracy,top3_accuracy,top5_accuracy,mean_rank,mean_reciprocal_rank,gravity_mean_log_loss,log_loss_improvement_vs_gravity
household_relocation,interdistrict_63,temporal_w12plus_holdout,gis_joint_unpenalized,72,1,True,0.0,0.0,0.0,2.082088613140802,0.4027777777777778,0.6666666666666666,0.7777777777777778,4.805555555555555,0.5831384015594542,2.479269693373843,0.39718108023304133
household_relocation,interdistrict_63,temporal_w12plus_holdout,radiation_adapted,72,1,True,0.0,0.0,0.0,2.646317231244944,0.4305555555555556,0.5416666666666666,0.6388888888888888,6.208333333333333,0.5321496083648862,2.479269693373843,-0.16704753787110072
household_relocation,full_64,temporal_w12plus_holdout,nested_gravity,181,1,True,0.0,0.0,0.0,1.644927621589308,0.6132596685082873,0.8342541436464088,0.861878453038674,3.149171270718232,0.7305136542778299,1.6570321959577874,0.012104574368479337
household_relocation,full_64,temporal_w12plus_holdout,nested_gis_ridge,181,1,True,0.1,0.1,0.1,1.5147096758032654,0.6022099447513812,0.856353591160221,0.8784530386740331,2.9668508287292816,0.7329554983671263,1.6570321959577874,0.14232252015452196
household_lagged_shock_yes,full_64,household_grouped_5fold,gravity_mle_disk_within,184,5,True,0.0,0.0,0.0,1.6303126185338768,0.6141304347826086,0.8369565217391305,0.8695652173913043,3.0760869565217392,0.7337983197358197,1.6303126185338768,0.0
household_lagged_shock_yes,full_64,household_grouped_5fold,gis_joint_ridge,184,5,True,0.1,0.1,1.0,1.5222316949557362,0.6141304347826086,0.8478260869565217,0.9021739130434783,2.972826086956522,0.7426422244888691,1.6303126185338768,0.10808092357814059
household_lagged_shock_yes,full_64,household_grouped_5fold,gis_joint_unpenalized,184,5,True,0.0,0.0,0.0,1.5214784163284292,0.6141304347826086,0.8478260869565217,0.9021739130434783,2.9510869565217392,0.7427508511650892,1.6303126185338768,0.1088342022054476
household_lagged_shock_yes,full_64,household_grouped_5fold,radiation_adapted,184,5,True,0.0,0.0,0.0,1.765162072602827,0.4076086956521739,0.8260869565217391,0.8369565217391305,3.2934782608695654,0.6321112437682196,1.6303126185338768,-0.13484945406895021
household_lagged_shock_yes,interdistrict_63,household_grouped_5fold,gravity_mle_disk_within,71,5,True,0.0,0.0,0.0,2.484221856900892,0.4084507042253521,0.6619718309859155,0.676056338028169,5.197183098591549,0.5595002423295522,2.484221856900892,0.0
household_lagged_shock_yes,interdistrict_63,household_grouped_5fold,gis_joint_ridge,71,5,True,0.1,0.001,1.0,2.1572887762777655,0.4225352112676056,0.676056338028169,0.8591549295774648,5.774647887323944,0.5942204613885765,2.484221856900892,0.3269330806231263
household_lagged_shock_yes,interdistrict_63,household_grouped_5fold,gis_joint_unpenalized,71,5,True,0.0,0.0,0.0,2.2244147624380592,0.4225352112676056,0.6619718309859155,0.8591549295774648,5.732394366197183,0.5907589942988178,2.484221856900892,0.25980709446283257
household_lagged_shock_yes,interdistrict_63,household_grouped_5fold,radiation_adapted,71,5,True,0.0,0.0,0.0,2.434101475881044,0.4788732394366197,0.5774647887323944,0.6901408450704225,5.408450704225352,0.5741656882501953,2.484221856900892,0.05012038101984784
household_lagged_shock_yes,full_64,household_grouped_5fold,nested_gravity,184,5,True,0.0,0.0,0.0,1.6399039975782403,0.6141304347826086,0.842391304347826,0.875,3.005434782608696,0.7355821322397409,1.6303126185338768,-0.00959137904436358
household_lagged_shock_yes,full_64,household_grouped_5fold,nested_gis_ridge,184,5,True,0.1,0.001,1.0,1.5062992628541558,0.6141304347826086,0.8532608695652174,0.9456521739130435,3.2282608695652173,0.7435720826792256,1.6303126185338768,0.12401335567972094
household_lagged_shock_yes,full_64,location_grouped_5fold,gravity_mle_disk_within,184,5,True,0.0,0.0,0.0,1.6441847004043364,0.6141304347826086,0.8206521739130435,0.8695652173913043,3.125,0.7314275876343304,1.6441847004043364,0.0
household_lagged_shock_yes,full_64,location_grouped_5fold,gis_joint_ridge,184,5,True,0.1,0.1,0.1,1.6180627917702535,0.6141304347826086,0.842391304347826,0.8858695652173914,3.0760869565217392,0.7398278943115899,1.6441847004043364,0.026121908634082924
household_lagged_shock_yes,full_64,location_grouped_5fold,gis_joint_unpenalized,184,5,True,0.0,0.0,0.0,1.6248354440526807,0.6141304347826086,0.842391304347826,0.8858695652173914,3.0652173913043477,0.7401495906277403,1.6441847004043364,0.01934925635165574
household_lagged_shock_yes,full_64,location_grouped_5fold,radiation_adapted,184,5,True,0.0,0.0,0.0,1.765162072602827,0.4076086956521739,0.8260869565217391,0.8369565217391305,3.2934782608695654,0.6321112437682197,1.6441847004043364,-0.12097737219849058
household_lagged_shock_yes,interdistrict_63,location_grouped_5fold,gravity_mle_disk_within,71,5,True,0.0,0.0,0.0,2.625019951442343,0.4084507042253521,0.647887323943662,0.6901408450704225,5.450704225352113,0.556972384734334,2.625019951442343,0.0
